title,description,prerequisites,prereq_text
MATH 0399 - Support for Precalculus,Practicum for Learning Support students enrolled in MATH 1113 (Precalculus).,[],
MATH 0999 - Support for MATH 1111,"This Learning Support course provides corequisite support in mathematics for students enrolled in MATH 1111 â€“ College Algebra. Topics will parallel topics being studied in MATH 1111 and the course will provide support for the essential quantitative skills needed to be successful in MATH 1111. Taken with MATH 1111, this course provides an in-depth study of the properties of algebraic, exponential and logarithmic functions as needed for calculus. Emphasis is on using algebraic and graphical techniques for solving problems involving linear, quadratic, piece-wise defined, rational, polynomial, exponential and logarithmic functions.",[],
MATH 1111 - College Algebra,"This course provides an in-depth study of the properties of algebraic, exponential and logarithmic functions as needed for calculus. Emphasis is on using algebraic and graphical techniques for solving problems involving linear, quadratic, piece-wise defined, rational, polynomial, exponential and logarithmic functions.",[],Learning Support Math 2 3 or MATH 0099
MATH 1113 - Pre-calculus,"This course is an intensive study of the basic functions needed for the study of calculus. Topics include algebraic, functional, and graphical techniques for solving problems with algebraic, exponential, logarithmic, and trigonometric functions and their inverses. May only be used for degree credit with departmental approval.",['MATH 1111'],MATH 1111 or SAT Mathematics 500 or MATH SECTION SCORE 530 or ACT Math 21
MATH 1501 - Calculus I,Differential calculus and basic integral calculus including the fundamental theorem of calculus. Credit not allowed for both MATH 1501 and 1712.,['MATH 1113'],MATH 1113 or SAT Mathematics 600 or Converted ACT Math 600
MATH 1503 - Calculus I For Life Sci,"Differential and basic calculus: sequences, difference equations, limits, continuity, differentiation, integration, applications.  The topics parallel those of MATH 1501 with applications from life sciences.",['MATH 1113'],SAT Mathematics 600 or Converted ACT Math 600 or MATH 1113
MATH 1504 - Calculus II For Life Sci,"Taylor approximations, introduction to differential equations, linear algebra, and introduction to multivariable calculus.  Motivating examples drawn from life sciences.","['MATH 1501', 'MATH 1503', 'MATH 1511']",MATH 1503 or MATH 1501 or MATH 1511 or MATH 15X1 or SAT Mathematics 600 or Converted ACT Math 600
MATH 1512 - Honors Calculus II,The topics covered parallel those of 1502 with a somewhat more intensive and rigorous treatment.  Credit not allowed for both honors calculus and the corresponding regular calculus course.  Credit not allowed for both MATH 1512 and MATH 1522.  Credit not allowed for both MATH 1512 and MATH 15X2.,"['MATH 1501', 'MATH 1511']",MATH 1501 or MATH 1511
MATH 1550 - Intro to Diff Calculus,"An introduction to differential calculus including applications and the underlying theory of limits for functions and sequences. Credit not awarded for both MATH 1550 and MATH 1501, MATH 1551, or MATH 1503.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or ACT Math 26
MATH 1551 - Differential Calculus,"Differential calculus including applications and the underlying theory of limits for functions and sequences. Credit not awarded for both MATH 1551 and MATH 1501, MATH 1503, or MATH 1550.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or ACT Math 26
MATH 1552 - Integral Calculus,"Integral calculus: Definite and indefinite integrals, techniques of integration, improper integrals, infinite series, applications. Credit not awarded for both MATH 1552 and MATH 1502, MATH 1504, MATH 1512 or MATH 1555.","['MATH 1501', 'MATH 1551', 'MATH 1550']",MATH 1550 or MATH 1551 or MATH 1501 or MATH 15X1 or MATH 1X51
MATH 1553 - Intro to Linear Algebra,"An introduction to linear alegbra including eigenvalues and eigenvectors, applications to linear systems, least squares. Credit not awarded for both MATH 1553 and MATH 1522, MATH 1502, MATH 1504, MATH 1512, MATH 1554 or MATH 1564.","['MATH 1551', 'MATH 1113']",(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or ACT Math 26 or MATH 15X1 or MATH 1X51 or MATH 1551
MATH 1554 - Linear Algebra,"Linear algebra eigenvalues, eigenvectors, applications to linear systems, least squares, diagnolization, quadratic forms.","['MATH 1552', 'MATH 1551', 'MATH 1113']",(MATH 1113 or MATH 11X3 ) or ACT Math 26 or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or MATH 1552 or MATH 15X2 or MATH 1X52 or MATH 1551
MATH 1555 - Calculus Life Sciences,"Overview of intergral calculus, multivariable calculus, and differential equations for biological sciences. Credit not awarded for both MATH 1555 and MATH 1552, MATH 1502, MATH 1504, MATH 1512 or MATH 2550.","['MATH 1501', 'MATH 1551', 'MATH 1550']",MATH 1550 or MATH 1551 or MATH 1501 or MATH 1X51 or MATH 15X1 or MATH 1X54
MATH 1564 - LinAlg w Abstract Vec Sp,"This is an intensive first course in linear algebra including the theories of linear transformations and abstract vector spaces. Credit not awarded for both MATH 1564 and MATH 1553, MATH 1554, MATH 1522, MATH 1502, MATH 1504 or MATH 1512.",['MATH 1552'],Math: Calculus AB 5 or Math: Calculus BC 5 or MATH 1552
MATH 1601 - Intro to Higher Math,This course is designed to teach problem solving and proof writing.  Mathematical subject matter is drawn from elementary number theory and geometry.,"['MATH 1501', 'MATH 1511']",MATH 1501 or MATH 1511 or MATH 15X1
MATH 1711 - Finite Mathematics,"Linear equations, matrices, linear programming, sets and counting, probability and statistics.",['MATH 1113'],SAT Mathematics 550 or MATH SECTION SCORE 570 or Converted ACT Math 550 or (MATH 1113 or MATH 11X3 ) or ACT Math 24
MATH 1712 - Survey of Calculus,"Techniques of differentiation, integration, application of integration to probability and statistics, multidimensional calculus. Credit not allowed for both MATH 1712 and 1501.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 550 or MATH SECTION SCORE 570 or Converted ACT Math 550 or ACT Math 24
MATH 1803 - Special Topics,Courses on special topics of current interest in Mathematics.,[],
MATH 2106 - Foundations Math Proof,"An introduction to proofs in advanced mathematics, intended as a transition to upper division courses including Abstract Algebra I and Analysis I.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2406 - Abstract Vector Spaces,"A proof-based development of linear algebra and vector spaces, with additional topics such as multilinear algebra and group theory.","['MATH 1512', 'MATH 1522', 'MATH 1502']",MATH 1502 or MATH 1512 or (MATH 15X2 and MATH 1522 )
MATH 2550 - Intro Multivariable Calc,"Vectors in three dimensions, curves in space, functions of several variables, partial derivatives, optimization, integration of functions of several variables. Vector Calculus not covered. Credit will not be awarded for both MATH 2550 and MATH 2605 or MATH 2401 or MATH 2551 or MATH 1555.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1502', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2551 - Multivariable Calculus,"Multivariable calculus: Linear approximation and Taylor's theorems, Lagrange multiples and constrained optimization, multiple integration and vector analysis including the theorems of Green, Gauss, and Stokes. Credit will not be awarded for both MATH 2551 and MATH 2401 or MATH 2411 or MATH 2561.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2552 - Differential Equations,Methods for obtaining numerical and analytic solutions of elementary differential equations. Applications are also discussed with an emphasis on modeling. Credit not awarded for both MATH 2552 and MATH 2403 or MATH 2413 or MATH 2562.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2561 - Honors Multivar Calculus,The topics covered parallel those of MATH 2551 with a somewhat more intensive and rigorous treatment. Credit not awarded for both MATH 2561 and MATH 2401 or MATH 2411 or MATH 2551.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2562 - Honors Differential Eqs,The topics covered parallel those of MATH 2552 with a somewhat more intensive and rigorous treatment.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2603 - Intro Discrete Math,"Mathematical logic and proof, mathematical induction, counting methods, recurrence relations, algorithms and complexity, graph theory and graph algorithms. Credit not awarded for both MATH 2603 and MATH 2602.","['MATH 1512', 'MATH 1552', 'MATH 1555', 'MATH 1502', 'MATH 1504']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or MATH 1552 or MATH 15X2 or MATH 1X52
MATH 2605 - Calc III for Comput Sci,"Topics in linear algebra and multivariate calculus and their applications in optimization and numerical methods, including curve fitting, interpolation, and numerical differentiation and integration.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 2801 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 2802 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 2803 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 2804 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 2805 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 3012 - Applied Combinatorics,"Elementary combinatorial techniques used in discrete problem solving: counting methods, solving linear recurrences, graph and network models, related algorithms, and combinatorial designs.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1554 or MATH 1X54 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 3022 - Honors App Combinatorics,Topics are parallel to those of MATH 3012 with a more rigorous and intensive treatment. Credit is not allowed for both MATH 3012 and 3022.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 3215 - Probability & Statistics,"This course is a problem-oriented introduction to the basic concepts of probability and statistics, providing a foundation for applications and further study.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 24X1 or MATH 2605 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51
MATH 3225 - Honors Prob & Statistics,"The topics covered parallel those of MATH 3215, with a more rigorous and intensive treatment.  Credit is not allowed for both MATH 3215 and 3225.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 2605 or MATH 24X1 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51
MATH 3235 - Probability Theory,"This course is a mathematical introduction to probability theory, covering random variables, moments, multivariable distributions, law of large numbers, central limit theorem, and large deviations. Credit not awarded for both MATH 3235 and MATH 3215 or 3225 or 3670.","['MATH 2106', 'MATH 3012', 'MATH 2401', 'MATH 2551', 'CS 2051', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",(MATH 2551 or MATH 2X51 or MATH 2561 or MATH 2401 or MATH 24X1 or MATH 2411 or MATH 2605 or MATH 2550 ) and (MATH 2106 or MATH 3012 or CS 2051 )
MATH 3236 - Statistical Theory,An introduction to theoretical statistics for students with a background in probability. A mathematical formalism for inference on experimental data will be developed. Credit not awared for both MATH 3236 and MATH 3215 or 3225 or 3670.,['MATH 3235'],MATH 3235
MATH 3406 - Second Course Linear Alg,"This course will cover important topics in linear algebra not usually discussed in a first-semester course, featuring a mixture of theory and applications.","['MATH 1512', 'MATH 1554', 'MATH 1502', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1522 or MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1X53
MATH 3670 - Statistics and Applns,"Introduction to probability, probability distributions, point estimation, confidence intervals, hypothesis testing, linear regression and analysis of variance. Students cannot receive credit for both MATH 3670 and MATH 3770 or ISYE 3770 or CEE 3770.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 24X1 or MATH 2605 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51
MATH 3801 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 3802 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 3803 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 3804 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 3805 - Special Topics,Courses on special topics of current interest in mathematics.,[],
MATH 4012 - Coding Theory,"Introduction to linear error correcting codes with an emphasis on the algebraic tools required, including matrices vector spaces, groups, polynomial rings, and finite fields.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 4022 - Intro to Graph Theory,"The fundamentals of graph theory: trees, connectivity, Euler torus, Hamilton cycles, matchings, colorings, and Ramsey theory.","['MATH 3022', 'MATH 3012']",MATH 3012 or MATH 3022
MATH 4032 - Combinatorial Analysis,"Combinatorial problem-solving techniques including the use of generating functions, recurrence relations, Polya theory, combinatorial designs, Ramsey theory, matroids, and asymptotic analysis.","['MATH 3022', 'MATH 3012']",MATH 3012 or MATH 3022
MATH 4080 - Senior Project I,The first of a two-course sequence of faculty-directed independent research culminating in the writing of a senior thesis and its presentation.,[],
MATH 4090 - Senior Project II,The second course of a two-course sequence of faculty-directed independent research culminating in the writing of a senior thesis and its presentation.,[],
MATH 4107 - Abstract Algebra I,"This course develops in the theme of ""Arithmetic congruence and abstract algebraic structures"". Strong emphasis on theory and proofs.",['MATH 2106'],MATH 2106
MATH 4108 - Abstract Algebra II,"Continuation of Abstract Algebra I, with emphasis on Galois theory, modules, polynomial fields, and the theory of linear associative algebra.",['MATH 4107'],MATH 4107
MATH 4150 - Intro To Number Theory,"Primes and unique factorization, congruences, Chinese remainder theorem, Diophantine equations, Diophantine approximations, quadratic reciprocity.  Applications such as fast multiplication, factorization, and encryption.","['MATH 2106', 'CS 2051', 'CS 3511', 'CS 3510', 'MATH 2406']",MATH 2106 or MATH 2406 or CS 2051 or CS 3510 or CS 3511
MATH 4210 - Mathematics of Data Sci,"Data science methods and their mathematical foundations: linear regression, classification, and clustering, kernel methods, regression trees and ensemble methods, dimension reduction.","['MATH 3215', 'MATH 3225', 'MATH 3670', 'MATH 3235']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670
MATH 4221 - Stochastic Processes I,Simple random walk and the theory of discrete time Markov chains.,"['ISYE 3770', 'MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'CEE 3770', 'MATH 3770']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770
MATH 4222 - Stochastic Processes II,"Renewal theory, Poisson processes and continuous time Markov processes, including an introduction to Brownian motion and martingales.",['MATH 4221'],MATH 4221
MATH 4255 - Monte Carlo Methods,"Probability distributions, limit laws, and applications through the computer.","['ISYE 3770', 'MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'CEE 3770', 'MATH 3770']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770
MATH 4261 - Math Statistics I,"Sampling distributions, Normal, t, chi-square, and f distributions. Moment-generating function methods, Bayesian estimation, and introduction to hypothesis testing.","['ISYE 3770', 'MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'CEE 3770', 'MATH 3770']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770
MATH 4262 - Math Statistics II,"Hypothesis testing, likelihood ratio tests, nonparametric tests, bivariate and multivariate normal distributions.","['MATH 4261', 'MATH 3236']",MATH 4261 or MATH 3236
MATH 4280 - Information Theory,The measurement and quantification of information.  These ideas are applied to the probabilistic analysis of the transmission of information over a channel along which random distortion of the message occurs.,"['ISYE 3770', 'MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'CEE 3770', 'MATH 3770']",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770
MATH 4305 - Linear Algebra,"Finite dimensional vector spaces, inner product spaces, least squares, linear transformations, the spectral theorem for normal transformations.  Applications to convex sets, positive matrices, difference equations.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) )
MATH 4317 - Analysis I,"Real numbers, topology of Euclidean spaces, Cauchy sequences, completeness, continuity and compactness, uniform continuity, series of functions, Fourier series.",['MATH 2106'],MATH 2106
MATH 4318 - Analysis II,"Differentiation of functions of one real variable, Riemann-Stieltjes integral, the derivative in Rn, and integration in Rn.",['MATH 4317'],MATH 4317
MATH 4320 - Complex Analysis,"Topics from complex function theory, including contour integration and conformal mapping.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 24X1 or MATH 2605 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51
MATH 4347 - Partial Diff Eqns I,"Method of characteristics for first- and second-order partial differential equations, conservation laws and shocks, classification of second-order systems and applications.","['MATH 2552', 'MATH 2562', 'MATH 2551', 'MATH 2550', 'MATH 2561']",(MATH 2550 or MATH 2551 or MATH 2561 ) and (MATH 24X3 or MATH 2552 or MATH 2562 )
MATH 4348 - Partial Diff Eqns II,"Green's functions and fundamental solutions.  Potential, diffusion, and wave equations.",['MATH 4347'],MATH 4347
MATH 4431 - Introduction to Topology,"Point set topology, topological spaces and metric spaces, continuity and compactness, homotopy, and covering spaces.",['MATH 4317'],MATH 4317
MATH 4432 - Algebraic Topology,"Introduction to algebraic methods in topology. Includes homotopy, the fundamental group, covering spaces, simplicial complexes.  Applications to fixed point theory and group theory.",['MATH 4317'],MATH 4317
MATH 4441 - Differential Geometry,"The theory of curves, surfaces, and more generally, manifolds.  Curvature, parallel transport, covariant differentiation, Gauss-Bonet theorem.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 24X1 or MATH 2605 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51
MATH 4541 - Dynamics& Bifurcations I,A broad introduction to the local and global behavior of nonlinear dynamical systems arising from maps and ordinary differential equations.,"['MATH 2552', 'MATH 1512', 'MATH 2562', 'MATH 2403', 'MATH 1554', 'MATH 1502', 'MATH 1564', 'MATH 1522', 'MATH 1553', 'MATH 2413']",(MATH 2403 or MATH 2413 or MATH 24X3 or MATH 2552 or MATH 2562 or MATH 2X52 ) and (MATH 1522 or MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1X53 or MATH 1502 or MATH 1512 )
MATH 4542 - Dynamics&Bifurcations II,A continuation of Dynamics and Bifurcations I.,['MATH 4541'],MATH 4541
MATH 4580 - Linear Programming,"A study of linear programming problems, including the simplex method, duality, and sensitivity analysis with applications to matrix games, interger programming, and networks.","['MATH 1512', 'MATH 1522', 'MATH 1502']",MATH 1502 or MATH 1512 or (MATH 15X2 and MATH 1522 )
MATH 4581 - Math Methods in Engr,"The Laplace transform and applications, Fourier series, boundary value problems for partial differential equations.","['MATH 2552', 'MATH 2562', 'MATH 2403', 'MATH 2413', 'MATH 2605']",MATH 2403 or MATH 2413 or MATH 24X3 or MATH 2605 or MATH 2552 or MATH 2562 or MATH 2X52
MATH 4640 - Numerical Analysis I,Introduction to numerical algorithms for some basic problems in computational mathematics.  Discussion of both implementation issues and error analysis.,"['MATH 2552', 'MATH 2562', 'MATH 2403', 'MATH 2602', 'MATH 2603', 'MATH 2413', 'MATH 2605']",MATH 2403 or MATH 2413 or MATH 24X3 or MATH 2602 or MATH 2605 or MATH 2552 or MATH 2562 or MATH 2X52 or MATH 2603
MATH 4641 - Numerical Analysis II,Introduction to the numerical solution of initial and boundary value problems in differential equations.,['MATH 4640'],MATH 4640
MATH 4755 - Mathematical Biology,Problems from the life sciences and the mathematical methods for solving them are presented.  The underlying biological and mathematical principles and the interrelationships are emphasized. Crosslisted with BIOL 4755.,"['MATH 1512', 'MATH 1546', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1554 or MATH 1546 or MATH 1522 or MATH 1X53 ) )
