course_number,title,department,hours_lecture,hours_lab,hours_recitation,hours_total_credit,typical_scheduling,description,prerequisites_text_raw,must_have_prerequisites_array,optional_prerequisites_array,course_text,topic_outline,url
1113,,MATH,3,0.0,2.0,4.0,"Every semesterAnalytic geometry, the function concept, polynomials, exponential, logarithms, trigonometric functions, mathematical induction, the theory of equations",,Math 1111 with a minimum grade of D or Math SAT Section Score (new SAT) of 530 or ACT score of 21.,[],[],"Precalculus: A Unit Circle Approach, 3rd edition, by Ratti, McWaters, and Skrzypek",[],https://math.gatech.edu/courses/math/1113
1111,,MATH,4,0.0,0.0,4.0,"Every semesterStudy of the properties of algebraic, exponential, and logarithmic functions as needed for pre-calculus and calculus",,None.,[],[],College Algebra by Robert Blitzer,[],https://math.gatech.edu/courses/math/1111
1503,,MATH,3,0.0,2.0,4.0,"Every Fall SemesterSingle variable differential and integral calculus: sequences and difference equations, limit and continuity, differentiation and integration and applications",The topics covered parallel those of MATH 1501 but the applications and examples are drawn from life sciences instead of physical sciences.,"Math SAT score 600 or higher, or converted ACT Math 600 or higher, or MATH 1113 Precalculus minimum grade of D.",[],['MATH 1113'],"The text book to be followed is one such as Calculus for Biology and Medicine, by Neuhauser (Third Edition); Pearson Education, Inc., 2010.",[],https://math.gatech.edu/courses/math/1503
1501,,MATH,3,0.0,2.0,4.0,Not offered after Summer 2015See MATH 1551 and new math core for Fall 2015,"Differential calculus and basic integral calculus including the fundamental theorem of calculus, including the underlying theory of limits for functions and sequences.","Math SAT score of 600 or higher, or MATH 1113 Precalculus.
New Math Core Fall 2015.",[],['MATH 1113'],"Thomas' Calculus (Early Transcendentals), 13th Edition, Pearson.
Flow chart describing textbook choices for fall 2015.",[],https://math.gatech.edu/courses/math/1501
1504,,MATH,3,0.0,2.0,4.0,"Every Spring SemesterTaylor approximations, introduction to differential equations, linear algebra and introduction to multivariable calculus",Motivating examples drawn from life sciences.,MATH 1503 or MATH 1501 or MATH 1511 or MATH 15X1.,[],"['MATH 1503', 'MATH 1501', 'MATH 1511']","The text book to be followed is one such as Calculus for Biology and Medicine, by Neuhauser (Third Edition); Pearson Education, Inc., 2010",[],https://math.gatech.edu/courses/math/1504
1512,,MATH,3,0.0,2.0,4.0,Every fallThis course is designed for students who have had a serious single variable calculus course in high school,,"HP Section - for Honors Program students only
Non-HP Section - AP Calculus BC score of 5, must apply in July",[],[],TBA,[],https://math.gatech.edu/courses/math/1512
1551,,MATH,2,0.0,1.0,2.0,Every SemesterDifferential calculus including applications and the underlying theory of limits for functions and sequences,,Math SAT Section Score (new SAT) of 620 or ACT 26 or ACT equivalent 600 or MATH 1113 Precalculus.,[],['MATH 1113'],"Thomas, Calculus: Early Transcendentals, (14th ed.)
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/1551
1550,,MATH,3,0.0,0.0,3.0,Every SummerAn introduction to differential calculus including the theory of limits for functions and sequences (only for Summer Freshmen),,SAT Math score of 600 or Math SAT Section Score (new SAT) of 620 or ACT 26 or ACT equivalent 600 or MATH 1113 Precalculus.,[],['MATH 1113'],"Thomas, Calculus: Early Transcendentals, (14th ed.)",[],https://math.gatech.edu/courses/math/1550
1552,,MATH,3,0.0,2.0,4.0,"Every SemesterDefinite and indefinite integrals, techniques of integration, improper integrals, infinite series, applications",,MATH 1550 or MATH 1551 or MATH 1501 or MATH 15X1 or MATH 1X51.,[],"['MATH 1550', 'MATH 1551', 'MATH 1501']","Thomas, Calculus: Early Transcendentals, (14th ed.)
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/1552
1553,,MATH,2,0.0,1.0,2.0,"Every SemesterAn introduction to linear algebra through eigenvalues and eigenvectors, applications to linear systems, least squares",,"Math SAT Section Score (new SAT) of 620 or ACT 26 or ACT equivalent 600 or MATH 1113 Precalculus or 15X2 or 1X52 or MATH 1552 Integral Calculus.
MATH 1553, MATH 1554, and MATH 1564 are equivalent and only one can be taken for credit.",[],"['MATH 1113', 'MATH 1552', 'MATH 1553', 'MATH 1554', 'MATH 1564']","Linear Algebra and Its Applications, 5th Edition, by David C. Lay.
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/1553
1554,,MATH,3,0.0,2.0,4.0,"Every SemesterLinear algebra through eigenvalues, eigenvectors, applications to linear systems, least squares, diagonalization, quadratic forms",,"Math SAT Section Score (new SAT) of 620 or ACT 26 or ACT equivalent 600 or MATH 1113 Precalculus or 15X2 or 1X52 or MATH 1552 Integral Calculus.
MATH 1553, MATH 1554, and MATH 1564 are equivalent and only one can be taken for credit.
Note: MATH 4305 cannot be used for credit in the BS MTH degree.","['MATH 1564', 'MATH 4305']","['MATH 1113', 'MATH 1552', 'MATH 1553', 'MATH 1554']","Linear Algebra and Its Applications, 5th Edition, by David C. Lay.
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/1554
1555,,MATH,3,0.0,2.0,4.0,"Not Currently OfferedOverview of integral calculus, multivariable calculus, and differential equations for biological sciences",,MATH 1550 or MATH 1551 or MATH 1501 or MATH 15X1 or MATH 1X51,[],"['MATH 1550', 'MATH 1551', 'MATH 1501']","On the level of Calculus for Biology and Medicine, by Neuhauser (3d Ed); Pearson, 2010",[],https://math.gatech.edu/courses/math/1555
1564,,MATH,3,0.0,2.0,4.0,"Every FallThis is an intensive course on linear algebra, taught at a sophisticated and abstract level",,"Score of 5 in AP BC Calculus or A in MATH 1552 or equivalent or permission from Academic Office.
MATH 1553, MATH 1554, and MATH 1564 are equivalent and only one can be taken for credit.
Note: MATH 4305 cannot be used for credit in the BS MTH degree.","['MATH 1564', 'MATH 4305']","['MATH 1552', 'MATH 1553', 'MATH 1554']","Linear Algebra by Jim Hefferon, available for free online.",[],https://math.gatech.edu/courses/math/1564
1711,,MATH,3,0.0,2.0,4.0,"Every semesterLinear equations, matrices, linear programming, sets and counting, probability and statistics",,"Math SAT Section Score (new SAT) of 570 or ACT 24 or ACT equivalent 550, or MATH 1113 Precalculus.",[],['MATH 1113'],"At the level of Finite Mathematics & Its Applications, Goldstein, Scheider, Seigel, Prentice Hall",[],https://math.gatech.edu/courses/math/1711
1712,,MATH,3,0.0,2.0,4.0,"Every Fall and SpringFunctions, the derivative, applications of the derivative, techniques of differentiation, integration, applications of integration to probability and statistics, multidimensional calculus",,"Math SAT Section Score (new SAT) of 570 or ACT 24 or ACT equivalent 550, or MATH 1113 Precalculus.",[],['MATH 1113'],"At the level of Calculus and Its Applications, 10th edition, by Bittinger/Ellenbogen/Surgent, Addison-Wesley.",[],https://math.gatech.edu/courses/math/1712
2106,,MATH,3,0.0,0.0,3.0,"Fall and Spring semestersAn introduction to proofs in advanced mathematics, intended as a transition to upper division courses including MATH 4107, 4150 and 4317","Fundamentals of mathematical abstraction including sets, logic, equivalence relations, and functions. Thorough development of the basic proof techniques: direct, contrapositive, existence, contradiction, and induction. Introduction to proofs in analysis and algebra.",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ((MATH 1552 or MATH 15X2 or MATH 1X52) and (MATH 1553 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53)),[],"['MATH 1502', 'MATH 1512', 'MATH 1504', 'MATH 1555', 'MATH 1552', 'MATH 1553', 'MATH 1554', 'MATH 1564', 'MATH 1522']","At the level of:
Book of Proof (3rd edition), by Richard Hammack 
Abstract Algebra: Theory and Applications (2019 edition), by Thomas Judson 
Elementary Analysis: The Theory of Calculus, by Kenneth Ross",[],https://math.gatech.edu/courses/math/2106
2406,,MATH,3,0.0,0.0,3.0,"Not regularly scheduledA thorough development of the theory of linear algebra and an introduction to multilinear algebra, with selected applications",,MATH 1502,['MATH 1502'],[],"At the level of Linear Algebra by Apostol, Wiley",[],https://math.gatech.edu/courses/math/2406
2550,,MATH,2,0.0,0.0,2.0,"Every SemesterAn introduction to multivariable calculus through vectors in 3D, curves, functions of several variables, partial derivatives, min/max problems, multiple integration",Vector Calculus not covered.,MATH 1502 OR MATH 1512 OR MATH 1555 OR MATH 1504 ((MATH 1552 OR MATH 15X2 OR MATH 1X52) AND (MATH 1522 OR MATH 1553 OR MATH 1554 OR MATH 1564 OR MATH 1X53)),[],"['MATH 1502', 'MATH 1512', 'MATH 1555', 'MATH 1504', 'MATH 1552', 'MATH 1522', 'MATH 1553', 'MATH 1554', 'MATH 1564']","At the level of Thomas, Calculus: Early Transcendentals, (14th ed.) Pearson.
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/2550
2551,,MATH,3,0.0,2.0,4.0,"Every SemesterLinear approximation and Taylor’s theorems, Lagrange multiples and constrained optimization, multiple integration and vector analysis including the theorems of Green, Gauss, and Stokes",,"MATH 1502 OR MATH 1512 OR MATH 1555 OR MATH 1504 ((MATH 1552 OR MATH 15X2 OR MATH 1X52) AND (MATH 1522 OR MATH 1553 OR MATH 1554 OR MATH 1564 OR MATH 1X53))
Equivalent to MATH 2401.",[],"['MATH 1502', 'MATH 1512', 'MATH 1555', 'MATH 1504', 'MATH 1552', 'MATH 1522', 'MATH 1553', 'MATH 1554', 'MATH 1564', 'MATH 2401']","Thomas, Calculus: Early Transcendentals, (14th ed.)
Flow chart describing textbook choices for Fall 2019.",[],https://math.gatech.edu/courses/math/2551
2552,,MATH,3,0.0,2.0,4.0,Every SemesterMethods for obtaining numerical and analytic solutions of elementary differential equations,Applications are also discussed with an emphasis on modeling.,"MATH 1502 OR MATH 1512 OR MATH 1555 OR MATH 1504 ((MATH 1552 OR MATH 15X2 OR MATH 1X52) AND (MATH 1522 OR MATH 1553 OR MATH 1554 OR MATH 1564 OR MATH 1X53))
Equivalent to MATH 2403.",[],"['MATH 1502', 'MATH 1512', 'MATH 1555', 'MATH 1504', 'MATH 1552', 'MATH 1522', 'MATH 1553', 'MATH 1554', 'MATH 1564', 'MATH 2403']","Differential Equations: An Introduction to Modern Methods & Applications, by James R. Brannan and William E. Boyce (Third edition); John Wiley and Sons, Inc.",[],https://math.gatech.edu/courses/math/2552
2561,,MATH,3,0.0,2.0,4.0,Most Spring SemestersThe topics covered parallel those of MATH 2551 with a somewhat more intensive and rigorous treatment,,"Grade at least B in the following:
MATH 1502 OR MATH 1512 OR MATH 1555 OR MATH 1504 ((MATH 1552 OR MATH 15X2 OR MATH 1X52) AND (MATH 1522 OR MATH 1553 OR MATH 1554 OR MATH 1564 OR MATH 1X53)).
If you are currently taking the perequisite course in the fall, you may register for this course during Phase I of registration. In December, we will drop any students in MATH 2561 who make C, D or F in the prerequisite course.",[],"['MATH 1502', 'MATH 1512', 'MATH 1555', 'MATH 1504', 'MATH 1552', 'MATH 1522', 'MATH 1553', 'MATH 1554', 'MATH 1564', 'MATH 2561']","Vector Calculus, by Susan Colley (Fourth Edition), Pearson 2012",[],https://math.gatech.edu/courses/math/2561
2562,,MATH,3,0.0,2.0,4.0,Some Fall SemestersThe topics covered parallel those of MATH 2552 with a somewhat more intensive and rigorous treatment,,"Grade at least B in the following:
MATH 1502 OR MATH 1512 OR MATH 1555 OR MATH 1504 ((MATH 1552 OR MATH 15X2 OR MATH 1X52) AND (MATH 1522 OR MATH 1553 OR MATH 1554 OR MATH 1564 OR MATH 1X53))",[],"['MATH 1502', 'MATH 1512', 'MATH 1555', 'MATH 1504', 'MATH 1552', 'MATH 1522', 'MATH 1553', 'MATH 1554', 'MATH 1564']","Differential Equations: An Introduction to Modern Methods & Applications, by James R. Brannan and William E. Boyce (second edition); John Wiley and Sons, Inc.",[],https://math.gatech.edu/courses/math/2562
2603,,MATH,3,0.0,2.0,4.0,"Every SemesterMathematical logic and proof, mathematical induction, counting methods, recurrence relations, algorithms and complexity, graph theory and graph algorithms",,"MATH 1552 or MATH 1502 or MATH 1512 or MATH 15X2.
This course is equivalent to MATH 2602.",[],"['MATH 1552', 'MATH 1502', 'MATH 1512', 'MATH 2602']","Discrete Mathematics with Graph Theory, Goodaire and Parmenter, 3rd edition",[],https://math.gatech.edu/courses/math/2603
2605,,MATH,3,0.0,2.0,4.0,"Not regularly scheduledTopics in linear algebra and multivariate calculus and their applications in optimization and numerical methods, including curve fitting, interpolation, and numerical differentiation and integration",,MATH 1502 or MATH 1512 or (Math 15X2 + MATH 1522),[],"['MATH 1502', 'MATH 1512', 'MATH 1522']","Level of Thomas' Calculus, Early Transcendentals, by Thomas, Weir, Haas (13th Edition) Addison Wesley, Inc. 2009, [Thomas]; Web-notes: Linear Algebra for MATH2601; Theory [Notes:Th]; Web-notes: Linear Alg. for MATH2601; Numerical Methods [Notes:Num]. Web-notes
Flow chart describing textbook choices for fall 2015.",[],https://math.gatech.edu/courses/math/2605
2801,,MATH,1,,,1.0,,,"There are no pre-requisites for this course. The intended audience is math majors in their second semester here, and the course is restricted to math majors.",[],[],"No text required. The course will be structured around primarily discussions of readings outside class, peer review of assignment drafts, and presentations including a poster session at the end of the semester.",[],https://math.gatech.edu/courses/math/2801
3012,,MATH,3,0.0,0.0,3.0,"Every semesterElementary combinatorial techniques used in discrete problem solving: counting methods, solving linear recurrences, graph and network models, related algorithms, and combinatorial designs",,"MATH 1502 OR MATH 1512 OR MATH 1555 OR MATH 1504 ((MATH 1552 OR MATH 15X2 OR MATH 1X52) AND (MATH 1522 OR MATH 1553 OR MATH 1554 OR MATH 1564 OR MATH 1X53))
CS students should complete CS 2050 before taking MATH 3012.",[],"['MATH 1502', 'MATH 1512', 'MATH 1555', 'MATH 1504', 'MATH 1552', 'MATH 1522', 'MATH 1553', 'MATH 1554', 'MATH 1564', 'CS 2050', 'MATH 3012']",At the level of Discrete and Combinatorial Mathematics (5th edition) by Grimaldi,[],https://math.gatech.edu/courses/math/3012
3215,,MATH,3,0.0,0.0,3.0,"Every semesterThis course is a problem oriented introduction to the basic concepts of probability and statistics, providing a foundation for applications and further study","MATH 3215, MATH 3235, and MATH 3670 are mutually exclusive; students may not hold credit for more than one of these courses.",MATH 2401 or MATH 24X1 or MATH 2411 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51 or MATH 2605.,[],"['MATH 2401', 'MATH 2411', 'MATH 2551', 'MATH 2561', 'MATH 2550', 'MATH 2605']","At the level of Probability and Statistical Inference, Hogg and Tanis, 9th edition, Pearson",[],https://math.gatech.edu/courses/math/3215
3225,,MATH,3,0.0,0.0,3.0,"Not currently offeredThe topics covered parallel those of MATH 3215, with a more rigorous and intensive treatment",Credit is not allowed for both MATH 3215 and 3225.,"You must have B or higher in MATH 2401, MATH 2411, or MATH 2605 or MATH 2551 or MATH 2561 to be enrolled in this course.  If you are in one of the above courses in the spring or summer term, you may register for MATH 3225 during Phase I of registration. In early August, we will drop any students in 3225 (fall term) who make C, D, or F in 2401, 2411, 2605, 2551 or 2561 in the spring or summer term.","['MATH 2401', 'MATH 2411', 'MATH 2605', 'MATH 2551', 'MATH 2561']",['MATH 3225'],"At the level of Probability and Statistical Inference, Hogg and Tanis, 8th edition",[],https://math.gatech.edu/courses/math/3225
3235,,MATH,3,0.0,0.0,3.0,"Fall and Spring Semesters; Some SummersThis course is a mathematical introduction to probability theory, covering random variables, moments, multivariate distributions, law of large numbers, central limit theorem, and large deviations","MATH 3215, MATH 3235, and MATH 3670 are mutually exclusive; students may not hold credit for more than one of these courses.",(MATH 2551 or MATH 2X51 or MATH 2561 or MATH 2401 or MATH 24X1 or MATH 2411 or MATH 2605 or MATH 2550) AND (MATH 2106 or CS 2051 or MATH 3012),[],"['MATH 2551', 'MATH 2561', 'MATH 2401', 'MATH 2411', 'MATH 2605', 'MATH 2550', 'MATH 2106', 'CS 2051', 'MATH 3012']","G. Grimmett and D. Welsh, Probability: An Introduction.",[],https://math.gatech.edu/courses/math/3235
3236,,MATH,3,0.0,0.0,3.0,Spring SemesterThis course is an introduction to theoretical statistics for students with a background in probability,A mathematical formalism for inference on experimental data will be developed.,MATH 3235 Introduction to Probability,['MATH 3235'],[],"M. H. De Groot, Probability and Statistics, 3rd edition",[],https://math.gatech.edu/courses/math/3236
3406,,MATH,3,0.0,0.0,3.0,"Every Spring and Fall Semesters; Some SummersThis course will cover important topics in linear algebra not usually discussed in a first-semester course, featuring a mixture of theory and applications",,MATH 1553 or MATH 1554 or MATH 1564 or MATH 1502 or MATH 1512 or MATH 1522 or MATH 1X53,[],"['MATH 1553', 'MATH 1554', 'MATH 1564', 'MATH 1502', 'MATH 1512', 'MATH 1522']","Primary text: ""Linear Algebra Done Right"", 3rd edition, by Sheldon Axler
Supplemental text: ""Introduction to Linear Algebra"", 4th edition, by Gilbert Strang (a course packet option will be available for students who do not wish to buy the entire textbook)",[],https://math.gatech.edu/courses/math/3406
3670,,MATH,3,0.0,0.0,3.0,"Every SemesterIntroduction to probability, probability distributions, point estimation, confidence intervals, hypothesis testing, linear regression and analysis of variance","MATH 3215, MATH 3235, and MATH 3670 are mutually exclusive; students may not hold credit for more than one of these courses.",MATH 2401 or MATH 24X1 or MATH 2411 or MATH 2551 or MATH 2550 or MATH 2X51,[],"['MATH 2401', 'MATH 2411', 'MATH 2551', 'MATH 2550']","Introduction to Probability and Statistics for Engineers and Scientists, 5th edition, by Sheldon M. Ross",[],https://math.gatech.edu/courses/math/3670
4012,,MATH,3,0.0,0.0,3.0,"no regular scheduleIntroduction to linear error correcting codes with an emphasis on the algebraic tools required, including matrices, vector spaces, groups, polynomial rings, and finite fields",,MATH 1502,['MATH 1502'],[],No text,[],https://math.gatech.edu/courses/math/4012
4022,,MATH,3,0.0,0.0,3.0,"Every fall semesterThe fundamentals of graph theory: trees, connectivity, Euler torus, Hamilton cycles, matchings, colorings and Ramsey theory",,MATH 3012 or equivalent,[],['MATH 3012'],No text,[],https://math.gatech.edu/courses/math/4022
4032,,MATH,3,0.0,0.0,3.0,"Every spring semesterCombinatorial problem-solving techniques including the use of generating functions, recurrence relations, Polya theory, combinatorial designs, Ramsey theory, matroids, and asymptotic analysis",,MATH 3012 or equivalent,[],['MATH 3012'],"At the level of Cameron, Combinatorics: Topics, Techniques, Algorithms, Peter Cameron, Cambridge Univ. Press",[],https://math.gatech.edu/courses/math/4032
4080,,MATH,1,0.0,3.0,2.0,Every fall and spring semestersThe first of a two course sequence of faculty-directed independent research culminating in the writing of a senior thesis and its presentation,,MATH 3012,['MATH 3012'],[],No text,[],https://math.gatech.edu/courses/math/4080
4090,,MATH,1,0.0,3.0,2.0,Every fall and spring semestersThe second of a two course sequence of faculty-directed independent research culminating in the writing of a senior thesis and its presentation,,MATH 3012,['MATH 3012'],[],No text,[],https://math.gatech.edu/courses/math/4090
4107,,MATH,3,0.0,0.0,3.0,"Every fall and spring semesterThis course develops in the theme of ""Arithmetic congruence, and abstract algebraic structures",""" There will be a very strong emphasis on theory and proofs.",MATH 2406 or MATH 2106,[],"['MATH 2406', 'MATH 2106']","Suggested text book: Abstract Algebra, An Introduction, by T. Hungerford",[],https://math.gatech.edu/courses/math/4107
4108,,MATH,3,0.0,0.0,3.0,"Every springContinuation of Abstract Algebra I, with emphasis on Galois theory, modules, polynomial fields, and the theory of linear associative algebra",,MATH 4107,['MATH 4107'],[],No text,[],https://math.gatech.edu/courses/math/4108
4150,,MATH,3,0.0,0.0,3.0,"Every spring semester, some fall semestersPrimes and unique factorization, congruences, Chinese remainder theorem, Diophantine equations, Diophantine approximations, quadratic reciprocity","Applications such as fast multiplication, factorization and encryption.",MATH 2406 or MATH 2106 or CS 3510 or CS 3511,[],"['MATH 2406', 'MATH 2106', 'CS 3510', 'CS 3511']","At the level of Elementary Number Theory and Its Applications, Kenneth H. Rosen, 5th ed. Pearson/Addison Wesley",[],https://math.gatech.edu/courses/math/4150
4210,,MATH,3,0.0,0.0,3.0,"Every FallModern data science methods and the mathematical foundations: linear regression, classification and clustering, kernel methods, regression trees and ensemble methods, dimension reduction",,"Calculus I and II: Math 1551 and Math 1552; and Linear algebra, such as 1553 or 1554 or 1564; and Probability, such as Math 3215, 3225, 3235, 3670.",[],[],"James, Gareth, Daniela Witten, Trevor Hastie and Robert Tibshirani, An introduction to statistical learning. 2nd edition, available online",[],https://math.gatech.edu/courses/math/4210
4221,,MATH,3,0.0,0.0,3.0,"Typically every fall semesterSimple random walk and the theory of discrete time Markov chains
Prerequisites: MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770
Course Text: At the level of Introduction to Stochastic Processes, Lawler, 2nd edition or Introduction to Probability Models, Ross, 10th edition
Topic Outline: 
Simple random walk
Applications of weak law and central limit theorem
Reflection principle and combinatorial approach
Techniques including difference equations and generating functions
Gambler's ruin and expected gain problems
Markov Chains

Conditional probability and conditional expectation
Renewal theory with limit theorems
Markov chains using renewal theory
Finite state space and matrix approach
Countable state spaces with examples and applications
Absorption probabilities
Sojourn times, expected duration, etc","Limiting and stationary distributions Reversibility and applications Introduction to continuous state, discrete time, Markov processes Applications to IFS",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISYE 3770 or CEE 3770,[],"['MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'MATH 3770', 'ISYE 3770', 'CEE 3770']","At the level of Introduction to Stochastic Processes, Lawler, 2nd edition or Introduction to Probability Models, Ross, 10th edition",[],https://math.gatech.edu/courses/math/4221
4222,,MATH,3,0.0,0.0,3.0,"Not currently offeredRenewal theory, Poisson processes and continuous time Markov processes, including an introduction to Brownian motion and martingales
Prerequisites: MATH 4221
Course Text: At the level of Introduction to Stochastic Processes, Lawler, 2nd edition or Introduction to Probability Models, Ross, 10th edition
Topic Outline: 
Introduction to Renewal Theory Renewal Theorem, Wald's Theorem, applications in random walk and use of generating functions especially for nonsymmetric walks
Introduction to counting processes especially the Poisson process Renewal counting process and renewal time process
Continuous time Markov chains (jump processes) Birth and death process Reversed process and applications Brownian motion (Wiener process) Introduction to second order theory Transformation of Gaussian processes Stochastic differential equations Introduction to martingales",,MATH 4221,['MATH 4221'],[],"At the level of Introduction to Stochastic Processes, Lawler, 2nd edition or Introduction to Probability Models, Ross, 10th edition",[],https://math.gatech.edu/courses/math/4222
4255,,MATH,3,0.0,0.0,3.0,"no regular scheduleTopics include uniform random number generation, sampling from non-uniform distributions, and applications to stochastic simulation, simulated annealing and genetic algorithms",A review of basic probability and Markov chains makes the course largely self-contained.,MATH 3215 or MATH 3225 or MATH 3235 or MATH 3770 or ISYE 3770 or CEE 3770,[],"['MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3770', 'ISYE 3770', 'CEE 3770']",No text,[],https://math.gatech.edu/courses/math/4255
4261,,MATH,3,0.0,0.0,3.0,"Every fall semesterSampling distributions, Normal, t, chi-square and F distributions","Moment generating function methods, Bayesian estimation and introduction to hypothesis testing",MATH 3215 or MATH 3225 or MATH 3235 or MATH 3670 or MATH 3770 or ISyE 3770 or CEE 3700,[],"['MATH 3215', 'MATH 3225', 'MATH 3235', 'MATH 3670', 'MATH 3770', 'CEE 3700']","At the level of Introduction to Mathematical Statistics, 7th edition by Hogg, Craig, and McKean",[],https://math.gatech.edu/courses/math/4261
