title,description,prerequisites,prereq_text,course_code,terms,professors,terms_str,professors_str
MATH 0399 - Support for Precalculus,Practicum for Learning Support students enrolled in MATH 1113 (Precalculus).,[],,MATH 0399,['fall2018' 'fall2017' 'fall2016' 'fall2015'],"['Stephanie S  Reikes' 'Lisa G  Camp' 'Christopher J  Jankowski'
 'Ishwari Jang  Kunwar']","fall2018, fall2017, fall2016, and fall2015","Stephanie S Reikes, Lisa G Camp, Christopher J Jankowski, and Ishwari Jang Kunwar"
MATH 0999 - Support for MATH 1111,"This Learning Support course provides corequisite support in mathematics for students enrolled in MATH 1111 â€“ College Algebra. Topics will parallel topics being studied in MATH 1111 and the course will provide support for the essential quantitative skills needed to be successful in MATH 1111. Taken with MATH 1111, this course provides an in-depth study of the properties of algebraic, exponential and logarithmic functions as needed for calculus. Emphasis is on using algebraic and graphical techniques for solving problems involving linear, quadratic, piece-wise defined, rational, polynomial, exponential and logarithmic functions.",[],,MATH 0999,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'fall2022'],['Stephanie S  Reikes'],"spring2025, spring2024, spring2023, spring2022, and fall2022",Stephanie S Reikes
MATH 1111 - College Algebra,"This course provides an in-depth study of the properties of algebraic, exponential and logarithmic functions as needed for calculus. Emphasis is on using algebraic and graphical techniques for solving problems involving linear, quadratic, piece-wise defined, rational, polynomial, exponential and logarithmic functions.",[],Learning Support Math 2 3 or MATH 0099,MATH 1111,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'fall2022'],['Stephanie S  Reikes'],"spring2025, spring2024, spring2023, spring2022, and fall2022",Stephanie S Reikes
MATH 1113 - Pre-calculus,"This course is an intensive study of the basic functions needed for the study of calculus. Topics include algebraic, functional, and graphical techniques for solving problems with algebraic, exponential, logarithmic, and trigonometric functions and their inverses. May only be used for degree credit with departmental approval.",['MATH 1111'],MATH 1111 or SAT Mathematics 500 or MATH SECTION SCORE 530 or ACT Math 21,MATH 1113,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Sean   Kafer' 'Stephanie S  Reikes' 'Martin   Engman'
 'Salvador P  Barone' 'Michael J.  Evans']","spring2025, spring2024, fall2024, spring2023, and fall2023","Sean Kafer, Stephanie S Reikes, Martin Engman, Salvador P Barone, and Michael J. Evans"
MATH 1501 - Calculus I,Differential calculus and basic integral calculus including the fundamental theorem of calculus. Credit not allowed for both MATH 1501 and 1712.,['MATH 1113'],MATH 1113 or SAT Mathematics 600 or Converted ACT Math 600,MATH 1501,['fall2012' 'spring2011' 'spring2010' 'spring2009' 'fall2009'],"['Federico   Bonetto' 'Klara Judith  Grodzinsky' 'Nathan   Geer'
 'Adrian   Tudorascu' 'TBA']","fall2012, spring2011, spring2010, spring2009, and fall2009","Federico Bonetto, Klara Judith Grodzinsky, Nathan Geer, Adrian Tudorascu, and TBA"
MATH 1503 - Calculus I For Life Sci,"Differential and basic calculus: sequences, difference equations, limits, continuity, differentiation, integration, applications.  The topics parallel those of MATH 1501 with applications from life sciences.",['MATH 1113'],SAT Mathematics 600 or Converted ACT Math 600 or MATH 1113,MATH 1503,[],[],,
MATH 1504 - Calculus II For Life Sci,"Taylor approximations, introduction to differential equations, linear algebra, and introduction to multivariable calculus.  Motivating examples drawn from life sciences.","['MATH 1501', 'MATH 1503', 'MATH 1511']",MATH 1503 or MATH 1501 or MATH 1511 or MATH 15X1 or SAT Mathematics 600 or Converted ACT Math 600,MATH 1504,['spring2015'],['TBA'],spring2015,TBA
MATH 1512 - Honors Calculus II,The topics covered parallel those of 1502 with a somewhat more intensive and rigorous treatment.  Credit not allowed for both honors calculus and the corresponding regular calculus course.  Credit not allowed for both MATH 1512 and MATH 1522.  Credit not allowed for both MATH 1512 and MATH 15X2.,"['MATH 1501', 'MATH 1511']",MATH 1501 or MATH 1511,MATH 1512,['fall2014' 'fall2013' 'fall2012' 'fall2011' 'fall2010'],['Wilfred   Gangbo' 'TBA' 'Matthew   Baker' 'Jean V.  Bellissard'],"fall2014, fall2013, fall2012, fall2011, and fall2010","Wilfred Gangbo, TBA, Matthew Baker, and Jean V. Bellissard"
MATH 1550 - Intro to Diff Calculus,"An introduction to differential calculus including applications and the underlying theory of limits for functions and sequences. Credit not awarded for both MATH 1550 and MATH 1501, MATH 1551, or MATH 1503.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or ACT Math 26,MATH 1550,['fall2024' 'fall2023' 'fall2022'],['Sierra Alexis  Knavel' 'Athulya   Ram Sreedharan Nair'],"fall2024, fall2023, and fall2022","Sierra Alexis Knavel, and Athulya Ram Sreedharan Nair"
MATH 1551 - Differential Calculus,"Differential calculus including applications and the underlying theory of limits for functions and sequences. Credit not awarded for both MATH 1551 and MATH 1501, MATH 1503, or MATH 1550.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or ACT Math 26,MATH 1551,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Yosia I  Nurhan' 'Sean   Kafer' 'lukas   Wessels' 'Anastasios   Fragkos'
 'Randall Ross  Van Why']","spring2025, spring2024, fall2024, spring2023, and fall2023","Yosia I Nurhan, Sean Kafer, lukas Wessels, Anastasios Fragkos, and Randall Ross Van Why"
MATH 1552 - Integral Calculus,"Integral calculus: Definite and indefinite integrals, techniques of integration, improper integrals, infinite series, applications. Credit not awarded for both MATH 1552 and MATH 1502, MATH 1504, MATH 1512 or MATH 1555.","['MATH 1501', 'MATH 1551', 'MATH 1550']",MATH 1550 or MATH 1551 or MATH 1501 or MATH 15X1 or MATH 1X51,MATH 1552,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Farjana   Siddiqua' 'Sandra   Ried' 'Abdon   De Andrade Moutinho Neto'
 'Yuta   Hozumi' 'Anastasios   Fragkos']","spring2025, spring2024, fall2024, spring2023, and fall2023","Farjana Siddiqua, Sandra Ried, Abdon De Andrade Moutinho Neto, Yuta Hozumi, and Anastasios Fragkos"
MATH 1553 - Intro to Linear Algebra,"An introduction to linear alegbra including eigenvalues and eigenvectors, applications to linear systems, least squares. Credit not awarded for both MATH 1553 and MATH 1522, MATH 1502, MATH 1504, MATH 1512, MATH 1554 or MATH 1564.","['MATH 1551', 'MATH 1113']",(MATH 1113 or MATH 11X3 ) or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or ACT Math 26 or MATH 15X1 or MATH 1X51 or MATH 1551,MATH 1553,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Abeer   Al-Ahmadieh' 'Christina   Athanasouli'
 'Carlos Mario  Sanchez Vargas' 'Will Fox  Hausmann' 'Mollene K  Denton']","spring2025, spring2024, fall2024, spring2023, and fall2023","Abeer Al-Ahmadieh, Christina Athanasouli, Carlos Mario Sanchez Vargas, Will Fox Hausmann, and Mollene K Denton"
MATH 1554 - Linear Algebra,"Linear algebra eigenvalues, eigenvectors, applications to linear systems, least squares, diagnolization, quadratic forms.","['MATH 1552', 'MATH 1551', 'MATH 1113']",(MATH 1113 or MATH 11X3 ) or ACT Math 26 or SAT Mathematics 600 or MATH SECTION SCORE 620 or Converted ACT Math 600 or MATH 1552 or MATH 15X2 or MATH 1X52 or MATH 1551,MATH 1554,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Randall Ross  Van Why' 'Cuyler Daniel  Warnock' 'Farjana   Siddiqua'
 'Abdon   De Andrade Moutinho Neto' 'Amanda Elizabeth  Hampton']","spring2025, spring2024, fall2024, spring2023, and fall2023","Randall Ross Van Why, Cuyler Daniel Warnock, Farjana Siddiqua, Abdon De Andrade Moutinho Neto, and Amanda Elizabeth Hampton"
MATH 1555 - Calculus Life Sciences,"Overview of intergral calculus, multivariable calculus, and differential equations for biological sciences. Credit not awarded for both MATH 1555 and MATH 1552, MATH 1502, MATH 1504, MATH 1512 or MATH 2550.","['MATH 1501', 'MATH 1551', 'MATH 1550']",MATH 1550 or MATH 1551 or MATH 1501 or MATH 1X51 or MATH 15X1 or MATH 1X54,MATH 1555,['spring2021' 'spring2020'],['David Michael  Harper'],"spring2021, and spring2020",David Michael Harper
MATH 1564 - LinAlg w Abstract Vec Sp,"This is an intensive first course in linear algebra including the theories of linear transformations and abstract vector spaces. Credit not awarded for both MATH 1564 and MATH 1553, MATH 1554, MATH 1522, MATH 1502, MATH 1504 or MATH 1512.",['MATH 1552'],Math: Calculus AB 5 or Math: Calculus BC 5 or MATH 1552,MATH 1564,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],['Michael   Loss' 'Haiyu   Zou' 'Wing S  Li' 'Albert   Fathi'],"fall2024, fall2023, fall2022, fall2021, and fall2020","Michael Loss, Haiyu Zou, Wing S Li, and Albert Fathi"
MATH 1601 - Intro to Higher Math,This course is designed to teach problem solving and proof writing.  Mathematical subject matter is drawn from elementary number theory and geometry.,"['MATH 1501', 'MATH 1511']",MATH 1501 or MATH 1511 or MATH 15X1,MATH 1601,[],[],,
MATH 1711 - Finite Mathematics,"Linear equations, matrices, linear programming, sets and counting, probability and statistics.",['MATH 1113'],SAT Mathematics 550 or MATH SECTION SCORE 570 or Converted ACT Math 550 or (MATH 1113 or MATH 11X3 ) or ACT Math 24,MATH 1711,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Sierra Alexis  Knavel' 'Haiyu   Zou' 'Christina   Giannitsi'
 'Stephanie   Mui' 'Corrine   Yap']","spring2025, spring2024, fall2024, spring2023, and fall2023","Sierra Alexis Knavel, Haiyu Zou, Christina Giannitsi, Stephanie Mui, and Corrine Yap"
MATH 1712 - Survey of Calculus,"Techniques of differentiation, integration, application of integration to probability and statistics, multidimensional calculus. Credit not allowed for both MATH 1712 and 1501.",['MATH 1113'],(MATH 1113 or MATH 11X3 ) or SAT Mathematics 550 or MATH SECTION SCORE 570 or Converted ACT Math 550 or ACT Math 24,MATH 1712,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Sarah Alice  Frederickson' 'Christina   Athanasouli' 'Haiyu   Zou'
 'Victor   Vilaca Da Rocha' 'Abeer   Al-Ahmadieh']","spring2025, spring2024, fall2024, spring2023, and fall2023","Sarah Alice Frederickson, Christina Athanasouli, Haiyu Zou, Victor Vilaca Da Rocha, and Abeer Al-Ahmadieh"
MATH 1803 - Special Topics,Courses on special topics of current interest in Mathematics.,[],,MATH 1803,[],[],,
MATH 2106 - Foundations Math Proof,"An introduction to proofs in advanced mathematics, intended as a transition to upper division courses including Abstract Algebra I and Analysis I.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 2106,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Songhao   Zhu' 'Christine   Heitsch' 'Mohammad   Ghomi'
 'Miriam   Kuzbary' 'Neha   Gupta']","spring2025, spring2024, fall2024, spring2023, and fall2023","Songhao Zhu, Christine Heitsch, Mohammad Ghomi, Miriam Kuzbary, and Neha Gupta"
MATH 2406 - Abstract Vector Spaces,"A proof-based development of linear algebra and vector spaces, with additional topics such as multilinear algebra and group theory.","['MATH 1512', 'MATH 1522', 'MATH 1502']",MATH 1502 or MATH 1512 or (MATH 15X2 and MATH 1522 ),MATH 2406,['spring2015' 'spring2014' 'fall2014' 'spring2013' 'spring2012'],"['Ronghua   Pan' 'Grigoriy   Blekherman' 'Zhiwu   Lin'
 'Guillermo H.  Goldsztein' 'Andrzej   Swiech']","spring2015, spring2014, fall2014, spring2013, and spring2012","Ronghua Pan, Grigoriy Blekherman, Zhiwu Lin, Guillermo H. Goldsztein, and Andrzej Swiech"
MATH 2550 - Intro Multivariable Calc,"Vectors in three dimensions, curves in space, functions of several variables, partial derivatives, optimization, integration of functions of several variables. Vector Calculus not covered. Credit will not be awarded for both MATH 2550 and MATH 2605 or MATH 2401 or MATH 2551 or MATH 1555.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1502', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 2550,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Hyun Jeong   Kim' 'Gong   Chen' 'Naga Manasa   Vempati' 'Papri   Dey'
 'Yingjie   Liu']","spring2025, spring2024, fall2024, spring2023, and fall2023","Hyun Jeong Kim, Gong Chen, Naga Manasa Vempati, Papri Dey, and Yingjie Liu"
MATH 2551 - Multivariable Calculus,"Multivariable calculus: Linear approximation and Taylor's theorems, Lagrange multiples and constrained optimization, multiple integration and vector analysis including the theorems of Green, Gauss, and Stokes. Credit will not be awarded for both MATH 2551 and MATH 2401 or MATH 2411 or MATH 2561.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 2551,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Shunyu   Wan' 'Matteo   Raffaelli' 'Changxin   Ding' 'Ho   Law'
 'Pu-Ting   Yu']","spring2025, spring2024, fall2024, spring2023, and fall2023","Shunyu Wan, Matteo Raffaelli, Changxin Ding, Ho Law, and Pu-Ting Yu"
MATH 2552 - Differential Equations,Methods for obtaining numerical and analytic solutions of elementary differential equations. Applications are also discussed with an emphasis on modeling. Credit not awarded for both MATH 2552 and MATH 2403 or MATH 2413 or MATH 2562.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 2552,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Wei   Zhu' 'Amanda Elizabeth  Hampton' 'Keagan   Callis'
 'Michael   Lacey' 'Abdon   De Andrade Moutinho Neto']","spring2025, spring2024, fall2024, spring2023, and fall2023","Wei Zhu, Amanda Elizabeth Hampton, Keagan Callis, Michael Lacey, and Abdon De Andrade Moutinho Neto"
MATH 2561 - Honors Multivar Calculus,The topics covered parallel those of MATH 2551 with a somewhat more intensive and rigorous treatment. Credit not awarded for both MATH 2561 and MATH 2401 or MATH 2411 or MATH 2551.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 2561,['spring2024' 'spring2023'],['Hannah   Turner' 'Wade   Bloomquist'],"spring2024, and spring2023","Hannah Turner, and Wade Bloomquist"
MATH 2562 - Honors Differential Eqs,The topics covered parallel those of MATH 2552 with a somewhat more intensive and rigorous treatment.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 2562,['fall2018' 'fall2017' 'fall2016'],['Howard   Weiss' 'Rafael   De la Llave'],"fall2018, fall2017, and fall2016","Howard Weiss, and Rafael De la Llave"
MATH 2603 - Intro Discrete Math,"Mathematical logic and proof, mathematical induction, counting methods, recurrence relations, algorithms and complexity, graph theory and graph algorithms. Credit not awarded for both MATH 2603 and MATH 2602.","['MATH 1512', 'MATH 1552', 'MATH 1555', 'MATH 1502', 'MATH 1504']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or MATH 1552 or MATH 15X2 or MATH 1X52,MATH 2603,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Evelyne   Smith-Roberge' 'Chi Hoi   Yip' 'Zach W  Walsh'
 'Thomas J  Kelly' 'Changxin   Ding']","spring2025, spring2024, fall2024, spring2023, and fall2023","Evelyne Smith-Roberge, Chi Hoi Yip, Zach W Walsh, Thomas J Kelly, and Changxin Ding"
MATH 2605 - Calc III for Comput Sci,"Topics in linear algebra and multivariate calculus and their applications in optimization and numerical methods, including curve fitting, interpolation, and numerical differentiation and integration.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 2605,[],[],,
MATH 2801 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 2801,['spring2025' 'spring2024' 'spring2019' 'spring2013' 'spring2009'],"['Hunter   Lehmann' 'Klara Judith  Grodzinsky' 'Jennifer Kraft  Leavey'
 'Luckhana Rena  Brakebill']","spring2025, spring2024, spring2019, spring2013, and spring2009","Hunter Lehmann, Klara Judith Grodzinsky, Jennifer Kraft Leavey, and Luckhana Rena Brakebill"
MATH 2802 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 2802,['spring2017' 'fall2012'],['Anton   Leykin' 'Cathleen C.  Jacobson'],"spring2017, and fall2012","Anton Leykin, and Cathleen C. Jacobson"
MATH 2803 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 2803,['fall2018' 'spring2017' 'spring2015' 'fall2015' 'spring2014'],"['Jonathan Michael  Paprocki' 'Anton   Leykin' 'Brett D  Wick'
 'Christine   Heitsch' 'Matthew   Baker']","fall2018, spring2017, spring2015, fall2015, and spring2014","Jonathan Michael Paprocki, Anton Leykin, Brett D Wick, Christine Heitsch, and Matthew Baker"
MATH 2804 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 2804,['spring2008' 'fall2008' 'spring2007' 'spring2006'],['TBA' 'Mitchel Todd  Keller' 'Mona   Meddin'],"spring2008, fall2008, spring2007, and spring2006","TBA, Mitchel Todd Keller, and Mona Meddin"
MATH 2805 - Special Topics,Courses on special topics of current interest in mathematics.,[],,MATH 2805,[],[],,
MATH 3012 - Applied Combinatorics,"Elementary combinatorial techniques used in discrete problem solving: counting methods, solving linear recurrences, graph and network models, related algorithms, and combinatorial designs.","['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1554 or MATH 1X54 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 3012,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Sean   Kafer' 'Tianchi   Yang' 'Grigoriy   Blekherman' 'Jiaxi   Nie'
 'Chi Hoi   Yip']","spring2025, spring2024, fall2024, spring2023, and fall2023","Sean Kafer, Tianchi Yang, Grigoriy Blekherman, Jiaxi Nie, and Chi Hoi Yip"
MATH 3022 - Honors App Combinatorics,Topics are parallel to those of MATH 3012 with a more rigorous and intensive treatment. Credit is not allowed for both MATH 3012 and 3022.,"['MATH 1512', 'MATH 1552', 'MATH 1554', 'MATH 1555', 'MATH 1502', 'MATH 1504', 'MATH 1564', 'MATH 1522', 'MATH 1553']",MATH 1502 or MATH 1512 or MATH 1504 or MATH 1555 or ( (MATH 1552 or MATH 15X2 or MATH 1X52 ) and (MATH 1553 or MATH 1X54 or MATH 1554 or MATH 1564 or MATH 1522 or MATH 1X53 ) ),MATH 3022,[],[],,
MATH 3215 - Probability & Statistics,"This course is a problem-oriented introduction to the basic concepts of probability and statistics, providing a foundation for applications and further study.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 24X1 or MATH 2605 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51,MATH 3215,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Daesung   Kim' 'Manh Khang   Huynh' 'John   McCuan' 'Brandon   Legried'
 'Wenjing   Liao']","spring2025, spring2024, fall2024, spring2023, and fall2023","Daesung Kim, Manh Khang Huynh, John McCuan, Brandon Legried, and Wenjing Liao"
MATH 3225 - Honors Prob & Statistics,"The topics covered parallel those of MATH 3215, with a more rigorous and intensive treatment.  Credit is not allowed for both MATH 3215 and 3225.","['MATH 2401', 'MATH 2551', 'MATH 2550', 'MATH 2561', 'MATH 2411', 'MATH 2605']",MATH 2401 or MATH 2411 or MATH 2605 or MATH 24X1 or MATH 2551 or MATH 2561 or MATH 2550 or MATH 2X51,MATH 3225,['fall2017' 'fall2016' 'fall2015' 'fall2014' 'fall2013'],"['Howard   Weiss' 'Christian   Houdre' 'Karim   Lounici' 'Michael   Lacey'
 'Ernest   Croot']","fall2017, fall2016, fall2015, fall2014, and fall2013","Howard Weiss, Christian Houdre, Karim Lounici, Michael Lacey, and Ernest Croot"
